iter	RMSE
0	9.374254466
1	9.12933498
22	8.9316055273	8.713886131
4	8.520786086
5	8.213110133
66	8.17142500777	7.97946516488	7.79938468
9	7.623721384
10	7.452580888
11	7.292511864
12	7.131060919
13	6.964865734
14	6.811490083
15	6.658032053
16	6.513170881
17	6.368342374
18	6.234368918
19	6.100950725
20	5.961443473
21	5.844046476
22	5.723970063
23	5.598910588
24	5.480651664
25	5.376103579
26	5.282974914
27	5.188131785
28	5.091698638
29	4.997637205
30	4.899700091
31	4.80647259
32	4.711908926
33	4.621833574
34	4.527368519
35	4.44178213
36	4.369539366
37	4.290504013
38	4.214483431
39	4.135969385
40	4.065085767
41	3.998037832
42	3.933158776
43	3.865331713
44	3.795640435
45	3.731708909
46	3.67111924
47	3.611576353
48	3.555881481
49	3.502569552
50	3.447096979
51	3.393702956
52	3.340744208
53	3.293654958
54	3.25582751
55	3.213754175
56	3.167614293
57	3.120374999
58	3.081084957
59	3.041688243
60	3.006537469
61	2.971075933
62	2.92846042
63	2.891760794
64	2.858664006
65	2.820335435
66	2.787057206
67	2.757469076
68	2.724019295
69	2.693710854
70	2.663051673
71	2.635748736
72	2.604337255
73	2.578441103
74	2.554790587
75	2.53364968
76	2.509606312
77	2.490758839
78	2.470287314
79	2.451537745
80	2.432019395
81	2.410116495
82	2.392429144
83	2.373134622
84	2.354324439
85	2.335150642
86	2.320751027
87	2.305971986
88	2.292190885
89	2.275517897
90	2.259211105
91	2.244463939
92	2.230600718
93	2.21768982
94	2.203333047
95	2.189311182
96	2.178697695
97	2.163982715
98	2.152314229
99	2.141726306
100	2.13120169
101	2.119714427
102	2.109786256
103	2.100564628
104	2.092415145
105	2.084106482
106	2.075379121
107	2.065935636
108	2.056466424
109	2.046749592
110	2.037811527
111	2.030267702
112	2.022209461
113	2.01428516
114	2.007545414
115	2.001320624
116	1.994787429
117	1.988963571
118	1.9818591
119	1.975415088
120	1.969776662
121	1.963462046
122	1.955550074
123	1.949022184
124	1.943129767
125	1.936860631
126	1.930232587
127	1.926472978
128	1.921140426
129	1.915991513
130	1.911663624
131	1.906732042
132	1.8994006
133	1.89199679
134	1.88655387
135	1.882044558
136	1.878561861
137	1.875326898
138	1.868645554
139	1.865149428
140	1.861185158
141	1.857232137
142	1.852672642
143	1.848794417
144	1.845916926
145	1.841719265
146	1.83701988
147	1.833789865
148	1.829326391
149	1.825716314
150	1.820869126
151	1.815723777
152	1.81247552
153	1.809466195
154	1.80531422
155	1.801844899
156	1.797606074
157	1.794875468
158	1.791656914
159	1.789437429
160	1.786875583
161	1.784067842
162	1.780794013
163	1.776788482
164	1.774110925
165	1.770686976
166	1.766707122
167	1.76394155
168	1.76195546
169	1.759237496
170	1.756788793
171	1.753812585
172	1.750200195
173	1.748341323
174	1.746279655
175	1.7430297
176	1.739399805
177	1.736249028
178	1.733543356
179	1.730607333
180	1.728333694
181	1.725102458
182	1.722358924
183	1.720200159
184	1.717305739
185	1.715294045
186	1.713597919
187	1.709982327
188	1.708118767
189	1.705014131
190	1.702666362
191	1.700373464
192	1.698263089
193	1.695930912
194	1.693784107
195	1.690921825
196	1.689301239
197	1.68664204
198	1.684304321
199	1.68197525
200	1.680219573
201	1.677349411
202	1.67453196
203	1.670764489
204	1.6681954
205	1.665955046
206	1.664165293
207	1.662585051
208	1.661107961
209	1.659278762
210	1.655961504
211	1.653220553
212	1.651070857
213	1.649545901
214	1.647315533
215	1.645921255
216	1.643943912
217	1.640933017
218	1.63957965
219	1.637905618
220	1.636052855
221	1.634706366
222	1.632895914
223	1.630899059
224	1.6268497
225	1.624531998
226	1.62279872
227	1.620120996
228	1.618359789
229	1.615149019
230	1.612828082
231	1.61083576
232	1.609496029
233	1.60766272
234	1.606116653
235	1.604286869
236	1.601277825
237	1.600244896
238	1.598791148
239	1.596188675
240	1.594557729
241	1.592900663
242	1.590945898
243	1.589018192
244	1.586758926
245	1.585553987
246	1.584004303
247	1.581523557
248	1.579420166
249	1.578360547
250	1.57716924
251	1.574986134
252	1.572544535
253	1.569611461
254	1.567732155
255	1.565100528
256	1.563281826
257	1.561381945
258	1.55927839
259	1.557221242
260	1.554560863
261	1.552726289
262	1.55110256
263	1.548748813
264	1.547152199
265	1.545298133
266	1.542273656
267	1.540876841
268	1.537986462
269	1.536064879
270	1.535454891
271	1.533949206
272	1.532269962
273	1.529915181
274	1.527605899
275	1.525554055
276	1.523588355
277	1.522713765
278	1.521397011
279	1.520749779
280	1.519091593
281	1.51741899
282	1.515461101
283	1.513582745
284	1.512204992
285	1.510125832
286	1.508553351
287	1.507494541
288	1.505490174
289	1.504135181
290	1.502278178
291	1.500344529
292	1.498413393
293	1.497267885
294	1.496355618
295	1.493647476
296	1.49257275
297	1.490455857
298	1.489308981
299	1.488752402
300	1.487782978
301	1.48564506
302	1.483730092
303	1.481930943
304	1.480200964
305	1.477377233
306	1.476749326
307	1.473817181
308	1.470312766
309	1.468855353
310	1.46818112
311	1.467530094
312	1.46682803
313	1.465509407
314	1.465059854
315	1.464626685
316	1.462812245
317	1.461163299
318	1.460139375
319	1.459295895
320	1.457532734
321	1.455830752
322	1.454289147
323	1.4525687
324	1.451711687
325	1.44951821
326	1.447848354
327	1.445739269
328	1.445084849
329	1.444673123
330	1.442888336
331	1.440038796
