iter	Passed	Remaining
0	624	436599
1	834	291131
2	102	3611	8393	1231	214322
4	1384	192386
555	2526	2922066	2292	226978
7	2493	215694
8	2794	214585
9	3098	213796
10	3562	223139
11	3813	218613
12	3983	210537
13	4184	205064
14	4381	200100
15	4621	197584
16	4796	192708
17	4972	188401
18	5211	186781
19	5520	187685
20	5868	189746
21	6160	189850
22	6377	187714
23	6533	184014
24	6815	184014
25	7175	186013
26	7341	182994
27	7550	181216
28	7766	179706
29	8004	178758
30	8073	174240
31	8160	170355
32	8278	167325
33	8383	164210
34	8562	162694
35	8688	160249
36	8780	157339
37	8930	155574
38	9079	153891
39	9282	153156
40	9443	151790
41	9564	149848
42	9667	147716
43	9811	146275
44	9918	144363
45	9998	142153
46	10096	140283
47	10232	138995
48	10448	138818
49	10560	137288
50	10709	136287
51	10906	135908
52	11118	135726
53	11339	135655
54	11522	135128
55	11692	134468
56	11896	134205
57	12161	134609
58	12502	135834
59	12742	135921
60	12904	135182
61	13094	134749
62	13209	133561
63	13301	132180
64	13427	131174
65	13594	130593
66	13777	130167
67	13914	129326
68	14088	128837
69	14282	128540
70	14506	128515
71	14656	127836
72	14740	126604
73	14799	125199
74	14955	124627
75	15183	124667
76	15335	124077
77	15544	123955
78	15709	123486
79	15794	122404
80	15921	121673
81	16032	120828
82	16177	120262
83	16304	119563
84	16361	118383
85	16542	118102
86	16741	117961
87	16916	117643
88	17095	117360
89	17321	117400
90	17506	117159
91	17674	116803
92	17900	116832
93	18012	116120
94	18312	116620
95	18459	116139
96	18593	115586
97	18702	114885
98	18952	115052
99	19201	115206
100	19430	115237
101	19600	114914
102	19805	114793
103	19957	114372
104	20137	114109
105	20255	113507
106	20387	112991
107	20517	112467
108	20573	111548
109	20696	111005
110	20790	110322
111	20976	110126
112	21190	110080
113	21379	109896
114	21565	109704
115	21715	109327
116	21826	108758
117	21912	108074
118	22066	107734
119	22185	107231
120	22332	106864
121	22550	106839
122	22689	106437
123	22887	106317
124	23013	105864
125	23071	105103
126	23278	105029
127	23390	104526
128	23502	104029
129	23594	103452
130	23697	102929
131	23843	102597
132	23990	102274
133	24135	101945
134	24279	101612
135	24492	101572
136	24672	101389
137	24761	100841
138	24875	100396
139	25013	100052
140	25135	99652
141	25220	99106
142	25310	98586
143	25436	98214
144	25573	97886
145	25719	97593
146	25891	97401
147	26052	97167
148	26197	96876
149	26329	96539
150	26506	96370
151	26648	96073
152	27025	96621
153	27074	95990
154	27266	95872
155	27384	95495
156	27773	96058
157	27914	95758
158	28014	95318
159	28061	94706
160	28204	94423
161	28375	94235
162	28534	94005
163	28718	93860
164	28837	93502
165	29013	93331
166	29175	93116
167	29279	92719
168	29412	92415
169	29539	92094
170	29633	91674
171	29750	91326
172	29855	90948
173	30042	90819
174	30158	90474
175	30326	90289
176	30566	90317
177	30851	90473
178	30990	90202
179	31181	90078
180	31436	90140
181	31624	90008
182	31799	89837
183	31939	89569
184	32069	89273
185	32125	88775
186	32210	88363
187	32339	88073
188	32485	87830
189	32609	87531
190	32678	87193	32400	84509
194	32588	84396
195	32752	84221
196	194	33611	87197	195	33843	87198	196	34141	87199	197	34402	87222
198	34515	86201	199	34720	86202	200	34885	86203	201	35038	86204	202	35234	86205	203	35426	86134
204	35605	85973
205	35841	85950
206	35974	85677
207	36195	85616
208	36330	85350
209	36449	85212	210	36592	84213	211	36716	84214	212	36930	84215	213	37117	84294
214	37193	83217	36805	81376
218	216	37383	83219	217	37479	82220	218	37681	82221	219	37801	82222	220	37926	82223	221	38139	82224	222	38243	81225	223	38365	81226	224	38509	81227	225	38666	81228	226	38878	81229	227	39077	80897
228	39197	80620
229	39364	80439
230	39535	80269
231	39668	80020
232	39795	79761
233	39953	79565
234	40116	79379
235	40279	79193
236	40415	78954
237	40539	78693
238	40687	78241	239	40863	78242	240	41043	78169
241	41160	77898
242	41286	77645
243	41408	77386
244	41502	77076
245	41655	76875
246	41772	76610
247	41906	76377
248	42067	76194
249	42155	75880
250	42239	75560
251	42382	75347
252	42515	75115
253	42797	75148
254	42968	74984
255	43193	74913
256	43223	74506
257	43340	74249
258	43477	74028
259	43658	73883
260	43812	73691
261	43923	73430
262	44025	73153
263	44123	72869
264	44272	72673
265	44388	72422
266	44494	72158
267	44625	71933
268	44838	71841
269	45143	71894
270	45298	71709
271	45441	71503
272	45627	71366
273	45817	71235
274	46019	71120
275	46263	71071
276	46398	70854
277	46543	70651
278	46714	70490
279	46831	70246
280	46995	70075
281	47213	69982
282	47362	69789
283	47483	69553
284	47733	69506
285	47897	69333
286	48092	69206
287	48252	69027
288	48339	68746
289	48425	68463
290	48541	68224
291	48702	68049
292	48807	67797
293	48980	67639
294	49059	67352
295	49196	67146
296	49283	66872
297	49454	66714
298	49613	66537
299	49703	66270
300	49798	66011
301	49910	65775
302	49976	65480
303	50072	65225
304	50179	64986
305	50285	64746
306	50420	64545
307	50632	64440
308	50821	64307
309	50916	64056
310	51001	63792
311	51063	63502
312	51154	63248
313	51274	63031
314	51361	62774
315	51461	62535
316	51576	62314
317	51641	62034
318	51746	61803
319	51839	61559
320	51939	61324
321	52047	61098
322	52142	60860
323	52214	60594
324	52350	60404
325	52440	60161
326	52549	59942
327	52655	59718
328	52732	59464
329	52865	59273
330	52998	59082
331	53142	58904
332	53302	58744
333	53426	58545
334	53586	58385
335	53809	58293
336	54023	58191
337	54199	58047
338	54282	57805
339	54358	57555
340	54521	57399
341	54580	57134
342	54703	56935
343	54879	56793
344	55057	56653
345	55169	56445
346	55314	56271
347	55470	56107
348	55602	55921
349	55734	55734
350	55857	55538
351	55997	55361
352	56203	55247
353	56332	55059
354	56453	54863
355	56586	54679
356	56705	54481
357	56872	54331
358	57065	54204
359	57200	54022
360	57367	53870
361	57486	53675
362	57632	53504
363	57786	53341
364	57921	53160
365	58016	52944
366	58222	52828
367	58327	52621
368	58487	52464
369	58661	52319
370	58722	52074
371	58824	51866
372	58986	51711
373	59092	51508
374	59217	51321
375	59342	51135
376	59436	50922
377	59542	50721
378	59677	50544
379	59783	50343
380	59844	50106
381	59935	49893
382	60010	49668
383	60045	49412
384	60101	49174
385	60203	48973
386	60303	48772
387	60395	48565
388	60476	48350
389	60588	48160
390	60739	48001
391	60812	47781
392	60905	47577
393	60989	47367
394	61093	47173
395	61193	46977
396	61279	46769
397	61354	46555
398	61460	46365
399	61536	46152
400	61627	45951
401	61685	45726
402	61841	45575
403	61934	45377
404	61987	45151
405	62094	44965
406	62192	44772
407	62269	44565
408	62372	44377
409	62512	44216
410	62625	44035
411	62710	43836
412	62813	43650
413	62938	43479
414	63036	43290
415	63139	43104
416	63286	42949
417	63407	42777
418	63517	42597
419	63609	42406
420	63729	42234
421	63839	42055
422	63950	41878
423	64103	41727
424	64236	41565
425	64339	41382
426	64443	41201
427	64541	41017
428	64642	40834
429	64773	40671
430	64942	40532
431	64982	40313
432	65095	40139
433	65207	39965
